<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1995.01.22	1.58620	1.60360	1.58400	1.58950	9775	0	50
1995.01.29	1.58800	1.59880	1.55950	1.56400	10305	0	50
1995.02.05	1.56050	1.56730	1.54910	1.56150	9345	0	50
1995.02.12	1.56250	1.59050	1.55140	1.58200	11755	0	50
1995.02.19	1.58140	1.59790	1.57250	1.58900	11895	0	50
1995.02.26	1.57750	1.63330	1.57310	1.63200	16745	0	50
1995.03.05	1.63370	1.66840	1.56350	1.57450	38455	0	50
1995.03.12	1.57550	1.60600	1.57000	1.58370	16825	0	50
1995.03.19	1.58760	1.60180	1.56910	1.59320	15345	0	50
1995.03.26	1.59100	1.63450	1.58900	1.62200	16145	0	50
1995.04.02	1.62430	1.62800	1.59720	1.60780	18075	0	50
1995.04.09	1.60400	1.61800	1.58470	1.60220	16015	0	50
1995.04.16	1.60300	1.62650	1.60060	1.61150	14955	0	50
1995.04.23	1.61200	1.62550	1.59440	1.60920	17325	0	50
1995.04.30	1.61000	1.62500	1.59400	1.59700	11675	0	50
1995.05.07	1.60090	1.61120	1.54610	1.56440	19965	0	50
1995.05.14	1.56350	1.58150	1.55800	1.57150	14525	0	50
1995.05.21	1.56940	1.62130	1.56250	1.60370	17065	0	50
1995.05.28	1.60360	1.60980	1.57740	1.59380	18235	0	50
1995.06.04	1.58950	1.60350	1.58520	1.59300	10635	0	50
1995.06.11	1.59290	1.61850	1.59070	1.60460	12485	0	50
1995.06.18	1.60040	1.61250	1.59200	1.60580	10915	0	50
1995.06.25	1.60450	1.60770	1.56840	1.59570	16045	0	50
1995.07.02	1.59210	1.60530	1.58430	1.59660	11725	0	50
1995.07.09	1.59550	1.60650	1.58500	1.59570	9615	0	50
1995.07.16	1.59390	1.60350	1.58900	1.59560	7565	0	50
1995.07.23	1.59470	1.60500	1.58660	1.60060	8645	0	50
1995.07.30	1.60290	1.61200	1.59390	1.60630	10205	0	50
1995.08.06	1.60470	1.60960	1.56800	1.56940	9895	0	50
1995.08.13	1.56500	1.57970	1.52900	1.53910	17495	0	50
1995.08.20	1.53950	1.55400	1.52980	1.55090	11205	0	50
1995.08.27	1.54980	1.56100	1.53900	1.55750	9855	0	50
1995.09.03	1.55770	1.56230	1.54300	1.55020	8445	0	50
1995.09.10	1.56020	1.56100	1.54200	1.55100	9595	0	50
1995.09.17	1.54500	1.59900	1.54250	1.56940	12935	0	50
1995.09.24	1.57260	1.58570	1.56230	1.58500	9835	0	50
1995.10.01	1.58150	1.59610	1.57390	1.58380	11655	0	50
1995.10.08	1.58150	1.59350	1.56660	1.57590	9115	0	50
1995.10.15	1.57480	1.58110	1.56600	1.57280	7885	0	50
1995.10.22	1.57480	1.58800	1.56950	1.57730	9455	0	50
1995.10.29	1.57690	1.58410	1.57170	1.57900	8095	0	50
1995.11.05	1.57750	1.58700	1.56300	1.56600	8645	0	50
1995.11.12	1.56770	1.57140	1.53900	1.54310	12495	0	50
1995.11.19	1.54510	1.56660	1.53810	1.55980	9995	0	50
1995.11.26	1.55910	1.56120	1.52330	1.53120	12815	0	50
1995.12.03	1.53240	1.54700	1.52030	1.53290	10945	0	50
1995.12.10	1.53340	1.54730	1.52630	1.53750	8875	0	50
1995.12.17	1.53850	1.54800	1.53400	1.54480	7785	0	50
1995.12.24	1.54460	1.56300	1.53510	1.54980	13795	0	50
1995.12.31	1.54700	1.56050	1.54120	1.55110	9164	0	50
1996.01.07	1.54820	1.55460	1.53960	1.54700	7805	0	50
1996.01.14	1.54600	1.54800	1.50340	1.51070	9915	0	50
1996.01.21	1.51190	1.51960	1.49700	1.50450	10995	0	50
1996.01.28	1.50250	1.52670	1.50140	1.52560	8015	0	50
1996.02.04	1.52800	1.54570	1.52700	1.53150	8545	0	50
1996.02.11	1.52720	1.55350	1.52470	1.55220	8275	0	50
1996.02.18	1.54390	1.55240	1.53620	1.54010	8415	0	50
1996.02.25	1.54050	1.54490	1.52370	1.52900	8055	0	50
1996.03.03	1.52890	1.53340	1.51500	1.52390	7975	0	50
1996.03.10	1.52050	1.53200	1.51600	1.52960	7625	0	50
1996.03.17	1.52770	1.54150	1.52530	1.53680	6465	0	50
1996.03.24	1.53480	1.53610	1.51670	1.52690	8335	0	50
1996.03.31	1.52500	1.53220	1.52100	1.52950	5265	0	50
1996.04.07	1.52770	1.53320	1.50430	1.51450	8975	0	50
1996.04.14	1.51100	1.52550	1.50400	1.51420	8155	0	50
1996.04.21	1.51130	1.51870	1.50440	1.51220	6275	0	50
1996.04.28	1.51310	1.51560	1.48900	1.50750	10145	0	50
1996.05.05	1.50580	1.53000	1.50550	1.52090	7915	0	50
1996.05.12	1.52000	1.52310	1.50960	1.51330	6565	0	50
1996.05.19	1.51140	1.51710	1.50650	1.51250	6315	0	50
1996.05.26	1.51150	1.55490	1.50940	1.55280	8705	0	50
1996.06.02	1.55230	1.55750	1.53550	1.53650	10095	0	50
1996.06.09	1.53760	1.54360	1.52700	1.53630	8005	0	50
1996.06.16	1.53520	1.55060	1.53450	1.53600	7185	0	50
1996.06.23	1.53720	1.55590	1.53300	1.55310	7385	0	50
1996.06.30	1.55120	1.56500	1.54930	1.55790	7085	0	50
1996.07.07	1.55660	1.55870	1.54650	1.55200	6115	0	50
1996.07.14	1.55160	1.56500	1.53680	1.54520	10285	0	50
1996.07.21	1.54050	1.56320	1.53940	1.55540	7555	0	50
1996.07.28	1.55470	1.56220	1.53920	1.54310	7315	0	50
1996.08.04	1.54350	1.55450	1.53400	1.55140	7255	0	50
1996.08.11	1.55200	1.55400	1.54530	1.54840	5265	0	50
1996.08.18	1.54840	1.55800	1.54200	1.55690	6775	0	50
1996.08.25	1.55650	1.56600	1.55220	1.56500	6285	0	50
1996.09.01	1.56070	1.57260	1.55750	1.56000	7715	0	50
1996.09.08	1.56000	1.56260	1.55020	1.55440	6275	0	50
1996.09.15	1.55470	1.56420	1.54850	1.55590	7355	0	50
1996.09.22	1.55400	1.56850	1.55090	1.56370	6925	0	50
1996.09.29	1.56270	1.57050	1.56010	1.56600	5545	0	50
