<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1997.06.01	1.64080	1.67350	1.61880	1.66580	41451	0	50
1997.07.01	1.66520	1.70020	1.62300	1.64100	58153	0	50
1997.08.01	1.64070	1.64350	1.56630	1.62330	59961	0	50
1997.09.01	1.61400	1.63050	1.57670	1.61900	52942	0	50
1997.10.01	1.61730	1.68820	1.59850	1.67480	50923	0	50
1997.11.01	1.67800	1.71550	1.66690	1.68900	46410	0	50
1997.12.01	1.68960	1.69070	1.62640	1.65000	52443	0	50
1998.01.01	1.64740	1.68700	1.60900	1.63460	5696	0	50
1998.02.01	1.63080	1.66090	1.62050	1.64420	4607	0	50
1998.03.01	1.64480	1.69000	1.62790	1.67280	4553	0	50
1998.04.01	1.67220	1.69820	1.65460	1.67290	35321	0	50
1998.05.01	1.67000	1.67500	1.61520	1.63100	126501	0	50
1998.06.01	1.63250	1.67930	1.62500	1.66770	264061	0	50
1998.07.01	1.66730	1.67230	1.62670	1.63270	193933	0	50
1998.08.01	1.63400	1.68830	1.60750	1.68150	178552	0	50
1998.09.01	1.68300	1.71850	1.65000	1.70050	264448	0	50
1998.10.01	1.69950	1.73670	1.66200	1.67550	304726	0	50
1998.11.01	1.67600	1.68060	1.64240	1.64790	221509	0	50
1998.12.01	1.64830	1.69500	1.64590	1.66090	242251	0	50
1999.01.01	1.66860	1.67200	1.62330	1.64500	105428	0	50
1999.02.01	1.64690	1.64810	1.59520	1.60380	97175	0	50
1999.03.01	1.59970	1.64800	1.59520	1.61030	107892	0	50
1999.04.01	1.61140	1.62390	1.58410	1.60950	99129	0	50
1999.05.01	1.60970	1.64350	1.58820	1.60280	101599	0	50
1999.06.01	1.60260	1.61810	1.57200	1.57780	118936	0	50
1999.07.01	1.57820	1.62560	1.54700	1.62150	104170	0	50
1999.08.01	1.62030	1.62830	1.58320	1.60370	118599	0	50
1999.09.01	1.60420	1.65150	1.59830	1.64710	128815	0	50
1999.10.01	1.64650	1.67950	1.63260	1.64290	121579	0	50
1999.11.01	1.64410	1.65190	1.59110	1.59760	133190	0	50
1999.12.01	1.59800	1.63120	1.59520	1.61540	114102	0	50
2000.01.01	1.61460	1.65810	1.61270	1.61560	128205	0	50
2000.02.01	1.61550	1.61960	1.57750	1.58000	151494	0	50
2000.03.01	1.57910	1.60080	1.56140	1.59110	168191	0	50
2000.04.01	1.59120	1.60820	1.55050	1.55210	130503	0	50
2000.05.01	1.55350	1.56730	1.46640	1.50040	169013	0	50
2000.06.01	1.50060	1.53140	1.48970	1.51730	164861	0	50
2000.07.01	1.51680	1.52230	1.49040	1.50000	151725	0	50
2000.08.01	1.49970	1.51430	1.44190	1.44750	154167	0	50
2000.09.01	1.44690	1.48020	1.39500	1.47610	157596	0	50
2000.10.01	1.47640	1.48040	1.41910	1.44800	170567	0	50
2000.11.01	1.44850	1.45730	1.39570	1.42530	187490	0	50
2000.12.01	1.42520	1.49830	1.42320	1.49290	189053	0	50
2001.01.01	1.49310	1.51060	1.44630	1.46430	208046	0	50
2001.02.01	1.46450	1.48380	1.43100	1.44550	182150	0	50
2001.03.01	1.44550	1.47630	1.41510	1.41630	211670	0	50
2001.04.01	1.41440	1.45020	1.41380	1.43330	175511	0	50
2001.05.01	1.43340	1.44530	1.40700	1.41840	191335	0	50
2001.06.01	1.41840	1.42310	1.36820	1.41630	184982	0	50
2001.07.01	1.41610	1.43570	1.39270	1.42520	190447	0	50
2001.08.01	1.42510	1.46270	1.41210	1.45420	210452	0	50
2001.09.01	1.45280	1.47920	1.44040	1.47440	190904	0	50
2001.10.01	1.47240	1.48450	1.41960	1.45450	209078	0	50
2001.11.01	1.45450	1.46840	1.40400	1.42420	196297	0	50
2001.12.01	1.42330	1.46110	1.41390	1.45460	183956	0	50
2002.01.01	1.45450	1.45590	1.40410	1.41060	210366	0	50
2002.02.01	1.41050	1.43630	1.40580	1.41680	172476	0	50
2002.03.01	1.41700	1.43270	1.40880	1.42590	183725	0	50
2002.04.01	1.42570	1.46360	1.42480	1.45790	184505	0	50
2002.05.01	1.45780	1.47080	1.44600	1.45430	196659	0	50
2002.06.01	1.45710	1.53810	1.45320	1.53310	174902	0	50
2002.07.01	1.53230	1.58670	1.51500	1.56310	219113	0	50
2002.08.01	1.56330	1.57290	1.51620	1.54980	199485	0	50
2002.09.01	1.54910	1.57460	1.52830	1.56810	211694	0	50
2002.10.01	1.56810	1.57670	1.54100	1.56520	238242	0	50
2002.11.01	1.56540	1.59720	1.54120	1.55750	208776	0	50
2002.12.01	1.55730	1.61380	1.54500	1.60970	210769	0	50
2003.01.01	1.60980	1.65730	1.59050	1.64710	256632	0	50
2003.02.01	1.64780	1.65390	1.57010	1.57340	212815	0	50
2003.03.01	1.57180	1.61590	1.55380	1.58190	217918	0	50
2003.04.01	1.58160	1.60340	1.54600	1.59910	210246	0	50
2003.05.01	1.59990	1.65530	1.59020	1.63600	233451	0	50
2003.06.01	1.62640	1.69060	1.62300	1.65620	240339	0	50
2003.07.01	1.65580	1.67460	1.57760	1.60970	251599	0	50
2003.08.01	1.61020	1.61950	1.56140	1.57770	224201	0	50
2003.09.01	1.57890	1.67630	1.56090	1.66120	237707	0	50
2003.10.01	1.66080	1.70830	1.65320	1.69780	245875	0	50
2003.11.01	1.69550	1.72470	1.65660	1.72170	207120	0	50
2003.12.01	1.72150	1.79460	1.71670	1.78590	221401	0	50
2004.01.01	1.78580	1.85840	1.77860	1.82470	247089	0	50
2004.02.01	1.82430	1.91430	1.81370	1.86800	241203	0	50
2004.03.01	1.86720	1.87520	1.79060	1.84620	283624	0	50
2004.04.01	1.84630	1.86080	1.75790	1.77880	272079	0	50
2004.05.01	1.77950	1.84270	1.74800	1.83330	305601	0	50
2004.06.01	1.83280	1.84920	1.80110	1.81960	315012	0	50
2004.07.01	1.81950	1.87760	1.80830	1.81970	296416	0	50
2004.08.01	1.82330	1.84690	1.78540	1.80260	285104	0	50
2004.09.01	1.80290	1.81660	1.77080	1.81180	221267	0	50
2004.10.01	1.81190	1.84510	1.77450	1.83780	206210	0	50
2004.11.01	1.83900	1.91340	1.82970	1.90930	223531	0	50
2004.12.01	1.90940	1.95520	1.90140	1.91910	241741	0	50
2005.01.01	1.91920	1.92040	1.85230	1.88390	227936	0	40
2005.02.01	1.88400	1.92620	1.85070	1.92020	207884	0	40
2005.03.01	1.92030	1.93280	1.85930	1.89040	234642	0	40
2005.04.01	1.89010	1.92200	1.86710	1.90860	233490	0	40
2005.05.01	1.90660	1.90790	1.81030	1.81730	263108	0	40
